RPS,Strategy,Label,P95_TTFT
1,dlora,dLoRA,0.5554
2,dlora,dLoRA,0.571
3,dlora,dLoRA,0.578
4,dlora,dLoRA,0.621
5,dlora,dLoRA,0.623
6,dlora,dLoRA,0.6476999999999998
7,dlora,dLoRA,0.647
8,dlora,dLoRA,0.657
9,dlora,dLoRA,0.688
10,dlora,dLoRA,0.699
11,dlora,dLoRA,0.7
12,dlora,dLoRA,0.727
13,dlora,dLoRA,0.73125
14,dlora,dLoRA,0.7623000000000002
15,dlora,dLoRA,0.8011999999999999
16,dlora,dLoRA,1.6267999999999956
17,dlora,dLoRA,3.923600000000002
18,dlora,dLoRA,5.801599999999997
19,dlora,dLoRA,9.928049999999974
20,dlora,dLoRA,32.218999999999994
21,dlora,dLoRA,73.27399999999999
22,dlora,dLoRA,101.99059999999936
23,dlora,dLoRA,127.68350000000001
24,dlora,dLoRA,147.18105
25,dlora,dLoRA,161.79519999999982
1,lru,S-LoRA,0.5554
2,lru,S-LoRA,0.55855
3,lru,S-LoRA,0.5548
4,lru,S-LoRA,0.562
5,lru,S-LoRA,0.5694499999999998
6,lru,S-LoRA,0.5706999999999998
7,lru,S-LoRA,0.576
8,lru,S-LoRA,0.58975
9,lru,S-LoRA,0.7616999999999962
10,lru,S-LoRA,2.3619
11,lru,S-LoRA,3.6859499999999987
12,lru,S-LoRA,5.403799999999998
13,lru,S-LoRA,8.509
14,lru,S-LoRA,13.150900000000004
15,lru,S-LoRA,22.488999999999997
16,lru,S-LoRA,36.962
17,lru,S-LoRA,49.517649999999996
18,lru,S-LoRA,64.9161
19,lru,S-LoRA,76.69609999999999
20,lru,S-LoRA,88.65725
21,lru,S-LoRA,100.6255
22,lru,S-LoRA,112.68479999999997
23,lru,S-LoRA,123.54430000000002
24,lru,S-LoRA,133.72819999999996
25,lru,S-LoRA,144.23989999999998
1,ours,Ours (SP1+SP2),0.546
2,ours,Ours (SP1+SP2),0.55
3,ours,Ours (SP1+SP2),0.551
4,ours,Ours (SP1+SP2),0.549
5,ours,Ours (SP1+SP2),0.5534499999999999
6,ours,Ours (SP1+SP2),0.554
7,ours,Ours (SP1+SP2),0.555
8,ours,Ours (SP1+SP2),0.554
9,ours,Ours (SP1+SP2),0.563
10,ours,Ours (SP1+SP2),0.57
11,ours,Ours (SP1+SP2),0.57
12,ours,Ours (SP1+SP2),0.573
13,ours,Ours (SP1+SP2),0.582
14,ours,Ours (SP1+SP2),0.599
15,ours,Ours (SP1+SP2),0.651
16,ours,Ours (SP1+SP2),1.5250499999999982
17,ours,Ours (SP1+SP2),2.9878
18,ours,Ours (SP1+SP2),7.184999999999998
19,ours,Ours (SP1+SP2),19.744699999999998
20,ours,Ours (SP1+SP2),35.850449999999995
21,ours,Ours (SP1+SP2),52.266999999999996
22,ours,Ours (SP1+SP2),66.847
23,ours,Ours (SP1+SP2),79.6909
24,ours,Ours (SP1+SP2),90.21615
25,ours,Ours (SP1+SP2),102.5229
1,ours_no_sem,Ours w/o Sem,0.546
2,ours_no_sem,Ours w/o Sem,0.55
3,ours_no_sem,Ours w/o Sem,0.551
4,ours_no_sem,Ours w/o Sem,0.549
5,ours_no_sem,Ours w/o Sem,0.554
6,ours_no_sem,Ours w/o Sem,0.553
7,ours_no_sem,Ours w/o Sem,0.552
8,ours_no_sem,Ours w/o Sem,0.554
9,ours_no_sem,Ours w/o Sem,0.562
10,ours_no_sem,Ours w/o Sem,0.57
11,ours_no_sem,Ours w/o Sem,0.5703499999999999
12,ours_no_sem,Ours w/o Sem,0.576
13,ours_no_sem,Ours w/o Sem,0.5852499999999999
14,ours_no_sem,Ours w/o Sem,0.604
15,ours_no_sem,Ours w/o Sem,0.687
16,ours_no_sem,Ours w/o Sem,1.551
17,ours_no_sem,Ours w/o Sem,3.1398
18,ours_no_sem,Ours w/o Sem,6.990599999999997
19,ours_no_sem,Ours w/o Sem,20.131
20,ours_no_sem,Ours w/o Sem,36.2322
21,ours_no_sem,Ours w/o Sem,52.696799999999996
22,ours_no_sem,Ours w/o Sem,67.29469999999999
23,ours_no_sem,Ours w/o Sem,79.967
24,ours_no_sem,Ours w/o Sem,90.8785
25,ours_no_sem,Ours w/o Sem,102.7319
1,ours_no_sp2,Ours w/o SP2,0.5493999999999999
2,ours_no_sp2,Ours w/o SP2,0.557
3,ours_no_sp2,Ours w/o SP2,0.557
4,ours_no_sp2,Ours w/o SP2,0.565
5,ours_no_sp2,Ours w/o SP2,0.569
6,ours_no_sp2,Ours w/o SP2,0.573
7,ours_no_sp2,Ours w/o SP2,0.5856999999999998
8,ours_no_sp2,Ours w/o SP2,0.61675
9,ours_no_sp2,Ours w/o SP2,0.8128499999999981
10,ours_no_sp2,Ours w/o SP2,2.514999999999996
11,ours_no_sp2,Ours w/o SP2,3.090199999999999
12,ours_no_sp2,Ours w/o SP2,5.224799999999999
13,ours_no_sp2,Ours w/o SP2,9.13725
14,ours_no_sp2,Ours w/o SP2,14.043300000000002
15,ours_no_sp2,Ours w/o SP2,24.779799999999994
16,ours_no_sp2,Ours w/o SP2,40.049499999999995
17,ours_no_sp2,Ours w/o SP2,51.2035
18,ours_no_sp2,Ours w/o SP2,67.0129
19,ours_no_sp2,Ours w/o SP2,79.13179999999998
20,ours_no_sp2,Ours w/o SP2,90.15249999999996
21,ours_no_sp2,Ours w/o SP2,102.59089999999999
22,ours_no_sp2,Ours w/o SP2,113.20979999999999
23,ours_no_sp2,Ours w/o SP2,124.50265
